2024-10-19 00:30:30 - iter: 78000/300000, epoch: 300, lr: 0.0003370686705567326 Train MRAE: 0.018346691504120827, Test mrae: 0.01292, Test rmse: 0.00176, Test psnr: 18.58916, Test ssim: 0.99981, Test sam: 0.01070
2024-10-19 00:42:27 - iter: 79000/300000, epoch: 300, lr: 0.00033553829376822055 Train MRAE: 0.01826193369925022, Test mrae: 0.01357, Test rmse: 0.00151, Test psnr: 18.58707, Test ssim: 0.99976, Test sam: 0.00974
2024-10-19 00:54:23 - iter: 80000/300000, epoch: 300, lr: 0.00033399310850905383 Train MRAE: 0.018176795914769173, Test mrae: 0.00795, Test rmse: 0.00103, Test psnr: 18.59736, Test ssim: 0.99992, Test sam: 0.00716
2024-10-19 01:06:21 - iter: 81000/300000, epoch: 300, lr: 0.000332433284226208 Train MRAE: 0.018095949664711952, Test mrae: 0.01014, Test rmse: 0.00132, Test psnr: 18.59226, Test ssim: 0.99986, Test sam: 0.00853
2024-10-19 01:18:18 - iter: 82000/300000, epoch: 300, lr: 0.0003308589919719932 Train MRAE: 0.018010083585977554, Test mrae: 0.00993, Test rmse: 0.00132, Test psnr: 18.59597, Test ssim: 0.99983, Test sam: 0.00866
2024-10-19 01:30:15 - iter: 83000/300000, epoch: 300, lr: 0.0003292704043852961 Train MRAE: 0.017932936549186707, Test mrae: 0.01214, Test rmse: 0.00138, Test psnr: 18.59415, Test ssim: 0.99981, Test sam: 0.00962
2024-10-19 01:42:12 - iter: 84000/300000, epoch: 300, lr: 0.00032766769567264765 Train MRAE: 0.017852507531642914, Test mrae: 0.00944, Test rmse: 0.00126, Test psnr: 18.58944, Test ssim: 0.99988, Test sam: 0.00795
2024-10-19 01:54:11 - iter: 85000/300000, epoch: 300, lr: 0.0003260510415891202 Train MRAE: 0.017771080136299133, Test mrae: 0.01119, Test rmse: 0.00130, Test psnr: 18.59848, Test ssim: 0.99981, Test sam: 0.00886
2024-10-19 02:06:08 - iter: 86000/300000, epoch: 300, lr: 0.0003244206194190494 Train MRAE: 0.017690280452370644, Test mrae: 0.00829, Test rmse: 0.00114, Test psnr: 18.58569, Test ssim: 0.99990, Test sam: 0.00740
2024-10-19 02:18:05 - iter: 87000/300000, epoch: 300, lr: 0.0003227766079566024 Train MRAE: 0.017612474039196968, Test mrae: 0.01182, Test rmse: 0.00143, Test psnr: 18.60482, Test ssim: 0.99983, Test sam: 0.00908
2024-10-19 02:30:04 - iter: 88000/300000, epoch: 300, lr: 0.00032111918748616095 Train MRAE: 0.017532246187329292, Test mrae: 0.00823, Test rmse: 0.00103, Test psnr: 18.59901, Test ssim: 0.99992, Test sam: 0.00667
2024-10-19 02:42:02 - iter: 89000/300000, epoch: 300, lr: 0.0003194485397625567 Train MRAE: 0.017456017434597015, Test mrae: 0.00881, Test rmse: 0.00105, Test psnr: 18.59144, Test ssim: 0.99989, Test sam: 0.00738
2024-10-19 02:53:59 - iter: 90000/300000, epoch: 300, lr: 0.00031776484799113977 Train MRAE: 0.01737891510128975, Test mrae: 0.00842, Test rmse: 0.00119, Test psnr: 18.59631, Test ssim: 0.99991, Test sam: 0.00769
2024-10-19 03:05:56 - iter: 91000/300000, epoch: 300, lr: 0.00031606829680768593 Train MRAE: 0.017302094027400017, Test mrae: 0.00928, Test rmse: 0.00108, Test psnr: 18.59708, Test ssim: 0.99989, Test sam: 0.00748
2024-10-19 03:17:53 - iter: 92000/300000, epoch: 300, lr: 0.00031435907225814945 Train MRAE: 0.017230505123734474, Test mrae: 0.01115, Test rmse: 0.00131, Test psnr: 18.58607, Test ssim: 0.99983, Test sam: 0.00860
2024-10-19 03:29:50 - iter: 93000/300000, epoch: 300, lr: 0.00031263736177826473 Train MRAE: 0.01715473085641861, Test mrae: 0.00851, Test rmse: 0.00118, Test psnr: 18.59353, Test ssim: 0.99990, Test sam: 0.00770
2024-10-19 03:41:48 - iter: 94000/300000, epoch: 300, lr: 0.0003109033541729883 Train MRAE: 0.017083238810300827, Test mrae: 0.00746, Test rmse: 0.00087, Test psnr: 18.60038, Test ssim: 0.99990, Test sam: 0.00582
2024-10-19 03:53:45 - iter: 95000/300000, epoch: 300, lr: 0.00030915723959579357 Train MRAE: 0.017010221257805824, Test mrae: 0.00871, Test rmse: 0.00109, Test psnr: 18.59936, Test ssim: 0.99989, Test sam: 0.00717
2024-10-19 04:05:45 - iter: 96000/300000, epoch: 300, lr: 0.0003073992095278223 Train MRAE: 0.01693829335272312, Test mrae: 0.01037, Test rmse: 0.00152, Test psnr: 18.60399, Test ssim: 0.99985, Test sam: 0.00935
2024-10-19 04:17:43 - iter: 97000/300000, epoch: 300, lr: 0.00030562945675688104 Train MRAE: 0.01686990074813366, Test mrae: 0.00863, Test rmse: 0.00103, Test psnr: 18.59675, Test ssim: 0.99990, Test sam: 0.00680
2024-10-19 04:29:42 - iter: 98000/300000, epoch: 300, lr: 0.0003038481753563052 Train MRAE: 0.016800131648778915, Test mrae: 0.00964, Test rmse: 0.00117, Test psnr: 18.59752, Test ssim: 0.99988, Test sam: 0.00779
2024-10-19 04:41:40 - iter: 99000/300000, epoch: 300, lr: 0.00030205556066367366 Train MRAE: 0.010731268674135208, Test mrae: 0.00995, Test rmse: 0.00128, Test psnr: 18.58836, Test ssim: 0.99979, Test sam: 0.00835
2024-10-19 04:53:42 - iter: 100000/300000, epoch: 300, lr: 0.0003002518092593875 Train MRAE: 0.009948677383363247, Test mrae: 0.01067, Test rmse: 0.00125, Test psnr: 18.59688, Test ssim: 0.99985, Test sam: 0.00853
2024-10-19 05:05:45 - iter: 101000/300000, epoch: 300, lr: 0.0002984371189451152 Train MRAE: 0.009917204268276691, Test mrae: 0.00871, Test rmse: 0.00108, Test psnr: 18.59064, Test ssim: 0.99989, Test sam: 0.00734
2024-10-19 05:17:46 - iter: 102000/300000, epoch: 300, lr: 0.0002966116887220999 Train MRAE: 0.009812644682824612, Test mrae: 0.01173, Test rmse: 0.00146, Test psnr: 18.58435, Test ssim: 0.99985, Test sam: 0.00909
2024-10-19 05:29:49 - iter: 103000/300000, epoch: 300, lr: 0.00029477571876933685 Train MRAE: 0.009786725975573063, Test mrae: 0.00976, Test rmse: 0.00128, Test psnr: 18.58345, Test ssim: 0.99989, Test sam: 0.00773
2024-10-19 05:41:51 - iter: 104000/300000, epoch: 300, lr: 0.000292929410421619 Train MRAE: 0.009744036942720413, Test mrae: 0.01227, Test rmse: 0.00159, Test psnr: 18.59458, Test ssim: 0.99985, Test sam: 0.00955
2024-10-19 05:53:54 - iter: 105000/300000, epoch: 300, lr: 0.00029107296614746473 Train MRAE: 0.009674892760813236, Test mrae: 0.00956, Test rmse: 0.00105, Test psnr: 18.59596, Test ssim: 0.99986, Test sam: 0.00670
2024-10-19 06:05:59 - iter: 106000/300000, epoch: 300, lr: 0.0002892065895269079 Train MRAE: 0.009655957110226154, Test mrae: 0.01043, Test rmse: 0.00119, Test psnr: 18.59307, Test ssim: 0.99976, Test sam: 0.00819
2024-10-19 06:18:01 - iter: 107000/300000, epoch: 300, lr: 0.00028733048522917734 Train MRAE: 0.009630282409489155, Test mrae: 0.00933, Test rmse: 0.00122, Test psnr: 18.59497, Test ssim: 0.99989, Test sam: 0.00794
2024-10-19 06:30:03 - iter: 108000/300000, epoch: 300, lr: 0.0002854448589902509 Train MRAE: 0.009577800519764423, Test mrae: 0.00791, Test rmse: 0.00109, Test psnr: 18.58500, Test ssim: 0.99991, Test sam: 0.00675
2024-10-19 06:42:06 - iter: 109000/300000, epoch: 300, lr: 0.0002835499175902933 Train MRAE: 0.009550409391522408, Test mrae: 0.00878, Test rmse: 0.00113, Test psnr: 18.60053, Test ssim: 0.99991, Test sam: 0.00715
2024-10-19 06:54:08 - iter: 110000/300000, epoch: 300, lr: 0.0002816458688309848 Train MRAE: 0.009506145492196083, Test mrae: 0.00843, Test rmse: 0.00106, Test psnr: 18.58536, Test ssim: 0.99991, Test sam: 0.00723
2024-10-19 07:06:10 - iter: 111000/300000, epoch: 300, lr: 0.0002797329215127278 Train MRAE: 0.009493960067629814, Test mrae: 0.00945, Test rmse: 0.00133, Test psnr: 18.60326, Test ssim: 0.99988, Test sam: 0.00771
2024-10-19 07:18:12 - iter: 112000/300000, epoch: 300, lr: 0.0002778112854117531 Train MRAE: 0.009453831240534782, Test mrae: 0.00886, Test rmse: 0.00102, Test psnr: 18.59756, Test ssim: 0.99987, Test sam: 0.00653
2024-10-19 07:30:14 - iter: 113000/300000, epoch: 300, lr: 0.0002758811712571147 Train MRAE: 0.009416840970516205, Test mrae: 0.00942, Test rmse: 0.00114, Test psnr: 18.59229, Test ssim: 0.99987, Test sam: 0.00775
2024-10-19 07:42:16 - iter: 114000/300000, epoch: 300, lr: 0.00027394279070757884 Train MRAE: 0.009386192075908184, Test mrae: 0.00912, Test rmse: 0.00118, Test psnr: 18.59855, Test ssim: 0.99988, Test sam: 0.00765
2024-10-19 07:54:18 - iter: 115000/300000, epoch: 300, lr: 0.00027199635632841723 Train MRAE: 0.009333228692412376, Test mrae: 0.00765, Test rmse: 0.00101, Test psnr: 18.60273, Test ssim: 0.99992, Test sam: 0.00629
